0.24999999999999997 + 0.0im	0.07469161172678783 - 0.18882463347148945im	-0.06965186903019133 - 0.07154819292109353im	-0.0032657230551201297 + 0.01061998277230001im	0.04948287586907401 - 0.04168045126717104im	-0.005441445884445163 - 0.10724479099056387im	-0.08644780185758139 - 0.06684454076907666im	-0.07864501513585474 - 0.013762373073988423im	-0.09818935352008348 - 0.0008869085698999091im	-0.0950839572665035 + 0.08707330529646728im	0.007106308364916591 + 0.10765496210627803im	0.03841089849093626 + 0.04133810812754384im	-0.0002017013035584765 + 0.013607431961716878im	-0.03273317070941808 + 0.08263371830054822im	0.10792061307910118 + 0.14307035256488942im	0.20541040674939248 - 0.04488439905568403im	0.03478331745153618 - 0.15706430541629568im	-0.05407218197895163 - 0.0444422966784092im	0.012499647070914567 + 0.005026413593758866im	0.04646754133618979 - 0.04816802665245738im	-0.00010613952241502248 - 0.10304664906152797im	-0.07673922456986124 - 0.08860000065208011im	-0.11847974011058737 - 0.037267785269476536im	-0.1403401715529728 + 0.05280340993689497im	-0.038329509372571346 + 0.13980393666769042im	0.05427193791167453 + 0.06070573746869867im	0.0051065543475664705 + 0.008914763856118856im	-0.020312300624405952 + 0.04419303251312826im	0.009805347215959614 + 0.09545544909191153im	0.11392713109551926 + 0.08518191143960172im	0.14032488824218858 - 0.04171028258689752im	0.04700652335855866 - 0.09313355477858826im	0.006550166980956152 - 0.06061185886335919im	0.00027775458715071716 - 0.05115697948928485im	0.0003248683848679056 - 0.04551321597733016im	-0.0035250266815447994 - 0.07243940250546094im	-0.060456453079611915 - 0.0949136429512857im	-0.15287628875824982 - 0.044762960695315004im	-0.14348863729137765 + 0.11844708372266356im	0.04272256717831995 + 0.1426936770141231im	0.062259150055129726 - 0.017729413681630193im	-0.06593628296781805 - 0.007523648724681456im	-0.04359280907019152 + 0.11268176841177592im	0.0765849351510968 + 0.12016807382941617im	0.13302340605422489 + 0.02776597879419597im	0.09962614760491265 - 0.04665664655900271im	0.06431913716180503 - 0.06808890989022465im	0.023555078470367842 - 0.09969086254135662im	-0.04636223735871142 - 0.06886841903241893im	-0.024237768915117273 - 0.008752765500804805im	0.019406271791233585 - 0.041744104801536674im	-0.0329917212282697 - 0.11442410085374882im	-0.17821891151233407 - 0.05796303309609069im	-0.1390334384950665 + 0.14762687878852007im	0.0687719683681644 + 0.12506310313363425im	0.036938427459807 - 0.04045951220159552im	-0.09378598905697459 + 0.022010844034011486im	-0.015748746284494703 + 0.15377758833065483im	0.13068265049597774 + 0.10352922567893381im	0.13174518110432987 - 0.028774354592138802im	0.05840362586501874 - 0.053596272446426965im	0.0591171185863995 - 0.05715475985559115im	0.0042640808225113324 - 0.09810229165568972im	-0.044640178174232964 - 0.03446738061453783im	0.01013735054661413 - 0.010212568816060657im	0.024471542331694723 - 0.07277286176871815im	-0.06437276978847048 - 0.13043423232121168im	-0.20091928850237226 - 0.02735059680073124im	-0.11647982958430184 + 0.1657492041704757im	0.07098179479316653 + 0.11345705770141545im	0.029550471831559053 - 0.021458692331883026im	-0.05920361655057116 + 0.03335404169132589im	0.001508931995400925 + 0.11947389037563358im	0.11047878907798576 + 0.08258222139560539im	0.11007781897032957 - 0.021133248289489825im	0.06708327158637781 - 0.0362254628173973im	0.06460057350042174 - 0.07591927637973947im	-0.021096354579123792 - 0.08543433481188656im	-0.012575491886023502 - 0.008845871432944775im	0.0391135860871391 - 0.05788850896379669im	-0.03142631306090771 - 0.11520854842513617im	-0.12407617189943641 - 0.0770712494245823im	-0.16070247649806993 + 0.04148094163870892im	-0.05249105662550272 + 0.13983002370461933im	0.048530624457678105 + 0.06709759523124648im	0.008039037560360188 + 0.008213189500607754im	-0.02319982064613293 + 0.03182225422415416im	-0.013520945294398014 + 0.0842638000532451im	0.07580892609716225 + 0.10177011309474998im	0.13062411151153047 + 0.022331985893814316im	0.12505841684218855 - 0.05907372087385346im	0.04117051860179782 - 0.140640152835475im	-0.07726184336618731 - 0.06460251327695421im	0.009203052853734793 + 0.0292004946706742im	0.06053079667908827 - 0.09116969275131688im	-0.08226581120576575 - 0.12960834609831157im	-0.14344118628797564 - 0.013280491854139737im	-0.09172430103135323 + 0.07188892354536103im	-0.016352558616906963 + 0.06915750082590505im	-0.021204270352929246 + 0.036353331353512194im	-0.012233290589452536 + 0.06917257889138513im
-0.15051487848306827 + 0.0im	-0.06902715775117416 + 0.0958976623079287im	-0.0067863848004552025 + 0.061374254199253346im	-0.007456956670141997 + 0.04635362324398673im	-0.00849042779052041 + 0.04602915607918622im	-0.004380723580736025 + 0.07546248038736228im	0.05777349142667928 + 0.09583752606609827im	0.12554266456020802 + 0.04268208120790977im	0.1284710999591503 - 0.056287229991526945im	0.03778406755326331 - 0.11841013866481263im	-0.03773123322459636 - 0.05819100923455538im	0.0006663748495672513 - 0.014586866716546338im	0.018788865760320125 - 0.04584154310486514im	0.0003866375524144013 - 0.08866165190010022im	-0.09944550403426995 - 0.10426455285904357im	-0.15706894212581796 + 0.024549155572972683im	-0.059686543019777154 + 0.10033459561386518im	-0.006678831809502265 + 0.06402400659189775im	-0.0064676154665149095 + 0.054319240074823145im	0.006022765823188676 + 0.05790766345366975im	0.02085050982909772 + 0.06284242289157152im	0.053406517868772534 + 0.06595246707300322im	0.1030605203876851 + 0.04164943136403689im	0.1280760630982993 - 0.0498673103184825im	0.028538373034579723 - 0.11846065986171954im	-0.03437469649711447 - 0.041261656539335695im	0.01930573022321809 - 0.01860879738050376im	0.0242578495114719 - 0.06809495465634481im	-0.02780276533760203 - 0.11037670262975952im	-0.13307766093531362 - 0.07746078364965135im	-0.1447757597343674 + 0.05824910233569052im	-0.0369052030657541 + 0.10755439586125184im	0.01192692991019668 + 0.05695359588024952im	-0.0009203165888383953 + 0.03564503871139645im	-0.0077239037542312095 + 0.048785662507709805im	0.015352663984778867 + 0.07079059959626774im	0.05368833148988656 + 0.06993671626875417im	0.11279038459590139 + 0.04974650017862951im	0.1397973214426946 - 0.06509189359044541im	0.018450241205009318 - 0.12607858148822096im	-0.033067576978720696 - 0.043704910524339384im	0.011902291832114869 - 0.029154893059258866im	0.007501057392395301 - 0.07124887858113978im	-0.04846716466531241 - 0.0934823587210042im	-0.12294621533635622 - 0.04642966833639182im	-0.11585098312721763 + 0.05670347929336186im	-0.03497356510360895 + 0.08954395280202034im	0.008423938103128819 + 0.05573316622499205im	-0.0049848400360868635 + 0.025176961000091837im	-0.028291964251432815 + 0.060344895067107704im	0.028091390120904905 + 0.09708359903287819im	0.08375703632089478 + 0.0713651382398202im	0.13629722033137595 + 0.01803479393457856im	0.113156590277768 - 0.10163231464956371im	-0.014285414645186373 - 0.11217368616416594im	-0.03164107111999864 - 0.02449610085556652im	0.019171209285019204 - 0.02694745464141105im	0.005747246912281485 - 0.0733532675101488im	-0.050943375921790886 - 0.08732144046028913im	-0.11303959305702897 - 0.04251023655117262im	-0.11430930820801696 + 0.03918998308647006im	-0.06236191835876613 + 0.09451067511324478im	0.01735911729067488 + 0.08527207416480778im	0.013292997045365398 + 0.020535370026340913im	-0.02607019465490242 + 0.05965826180174723im	0.03947009419503048 + 0.09800179673443038im	0.10087515689298103 + 0.05860429178503451im	0.13002251040898888 - 0.016913322480660693im	0.07091001166268465 - 0.10430901891284328im	-0.02381545257568703 - 0.07321843926226884im	0.0004372192767928 - 0.012163874278261265im	0.033320046758945704 - 0.05091176898565688im	-0.007013597154346582 - 0.09315419798606299im	-0.07742682689861635 - 0.08680521276888886im	-0.11989851322417763 - 0.019745316908169767im	-0.11137149658112082 + 0.04620039191993285im	-0.059723840248773315 + 0.11599998960569419im	0.0498967969698128 + 0.08872138026555398im	0.022701721778124503 - 0.00549403018004622im	-0.04018752096241448 + 0.04747315783637831im	0.029795136032240273 + 0.10676460439774538im	0.11085849255420478 + 0.06323727102876489im	0.13105264385458784 - 0.028635654336099544im	0.05937832678262366 - 0.10120527795037225im	-0.011791359890874039 - 0.062337187451200114im	0.011929881885379945 - 0.0334781286055166im	0.01431254879434107 - 0.06542237497568819im	-0.026428434185910774 - 0.09187907521781785im	-0.09690495413935415 - 0.06560363847113555im	-0.10655012565199336 + 0.007959142759307253im	-0.09015834043586547 + 0.049288258712358264im	-0.04159303767679494 + 0.10625640971249077im	0.04857445185121348 + 0.06462863739963441im	-0.001049695965084306 - 0.00959934219601673im	-0.04987330723259321 + 0.07034406202687624im	0.04946911219174757 + 0.1235780444910667im	0.13500524606819356 + 0.05373433695485037im	0.1347777487085415 - 0.05517740723621898im	0.04203171436121039 - 0.11075786513406005im	-0.016289080874006878 - 0.065202147913088im	-0.009575928430766273 - 0.03720667430645326im
0.06351665977707303 + 0.0im	0.08135075340406084 - 0.012302832911706741im	0.08268955207844667 - 0.0783915885757314im	-0.00498682243420767 - 0.11495876567722337im	-0.05533130004823397 - 0.04257313832128404im	0.002065889529504952 - 0.016512216581498027im	-0.009670776282843536 - 0.09602342630231728im	-0.1355397184481425 - 0.06993796106452278im	-0.12752638878998943 + 0.07855288245295178im	-0.004451205936757405 + 0.0903480033709029im	-0.0075505917142602635 + 0.014951217222480502im	-0.05517801414462386 + 0.06330490371670228im	0.022916630510650685 + 0.11440383355776124im	0.08182223152301327 + 0.056688996998345446im	0.07400091523687195 + 0.015530398697702934im	0.07395382348598259 - 0.0015955719636281955im	0.08129970690300443 - 0.03440875253393046im	0.05026868958950376 - 0.08239300767981375im	-0.007057696641577183 - 0.07887584584681236im	-0.01927676352013079 - 0.04738149230262691im	-0.008993009033790156 - 0.055225874537064214im	-0.05142301321823618 - 0.08215024852246147im	-0.12228766660185253 - 0.03334983744205827im	-0.10448600531596126 + 0.0667529945791752im	-0.019331572709223095 + 0.07848115449232558im	-0.018690885059479082 + 0.04002861373876233im	-0.018356608207484113 + 0.07995660305994112im	0.04140114049503109 + 0.07325671436565065im	0.04486947809767042 + 0.043331522235386076im	0.06811622121913072 + 0.04894101013607034im	0.11127234532301583 - 0.001496028836977854im	0.07738117623058759 - 0.07752259766224674im	0.0079026222374178 - 0.07495058560266435im	0.006266174846108887 - 0.041470323296872745im	0.017442684848509523 - 0.07218046335040497im	-0.0477384010680576 - 0.09673103501750316im	-0.0960049162887318 - 0.03674041384052093im	-0.08253062096162783 + 0.006974895118126891im	-0.07399333658580123 + 0.03726438792916741im	-0.04619265206996816 + 0.05853603768653664im	-0.02962946323517236 + 0.07323485278213306im	0.019686546400221317 + 0.08388707861046117im	0.04030474366616836 + 0.038076439146242806im	0.013890085571183125 + 0.05001354097346239im	0.0830825060652902 + 0.0818856401422492im	0.15024487165550143 - 0.02297156151777334im	0.057652158442775256 - 0.11958341531143758im	-0.031048122261118055 - 0.062331260638727036im	0.017628756685511393 - 0.010144382513996906im	0.03997522705871183 - 0.09343396517371272im	-0.081583376168016 - 0.11241851535682879im	-0.10894688468168409 + 0.0007996548680804162im	-0.04995099011297751 + 0.01966990669485829im	-0.06466993491517271 + 0.008818738827231954im	-0.07505569028094951 + 0.05750253646189052im	-0.024223043845851222 + 0.10158064060061929im	0.04177851050539137 + 0.07932290223539117im	0.038088615341868616 + 0.026677319368168924im	0.013232372800597718 + 0.05753827890671365im	0.10215874941267471 + 0.07628185808838943im	0.14587453999095812 - 0.04915823864344788im	0.03439809784180688 - 0.122321278277625im	-0.039360307326195026 - 0.04592101679794172im	0.031151447991953518 - 0.004604617400472885im	0.037349420756037144 - 0.10703583178905071im	-0.09269766057815526 - 0.10602125669568853im	-0.1052412831515707 + 0.005742187173800786im	-0.05202650226624174 + 0.015887707004602427im	-0.07738024813083112 + 0.01616255598872882im	-0.06611674428666803 + 0.08111689261805319im	0.001842119865385824 + 0.09475046966928662im	0.0358792039964645 + 0.06004244764522667im	0.02715568034947503 + 0.039462390805852544im	0.039982963036008665 + 0.06376787925037243im	0.1058941478144468 + 0.038849038219021685im	0.1091678822970466 - 0.05034508290824925im	0.035581164773908776 - 0.09207355008798791im	-0.009620903689229776 - 0.049552411450081935im	0.024411635098617976 - 0.04023812837997987im	0.0003329387979005771 - 0.09829214979031638im	-0.08362275814972987 - 0.07813917644674413im	-0.09050959662975817 - 0.006759573169095046im	-0.07522734162464635 + 0.008600835551331074im	-0.08551330265870559 + 0.05259491688860982im	-0.023397564559950856 + 0.09419756541841552im	0.01888060475012439 + 0.05399049401230998im	-0.004019187295596401 + 0.04348450976275085im	0.016864529405888694 + 0.08584986761912003im	0.09339441216605066 + 0.06502952061637984im	0.10101297344005271 - 0.012285740941647477im	0.0681039067239648 - 0.042318916702856466im	0.050217252919289884 - 0.05898609061231027im	0.023023105575951282 - 0.07627048266713268im	-0.012027990795164497 - 0.07680945773465428im	-0.03810967280938368 - 0.061740276731584456im	-0.05263741551895937 - 0.044385263841813245im	-0.06849521360882302 - 0.03607578331102635im	-0.10858261706324474 + 0.0007676062103697106im	-0.08462925360095895 + 0.08865507828941266im	0.010656430725257123 + 0.09344481392840383im	0.019881223887804285 + 0.0209761306707075im
-0.05779281921456542 + 0.0im	-0.07172481296409397 + 0.010866161182058354im	-0.0735516441406928 + 0.05612401304191384im	-0.03257207499140981 + 0.09412372691233382im	0.02565145100158469 + 0.09365311649371445im	0.05549623988933661 + 0.05247294341047912im	0.052870191090290015 + 0.04083312554652753im	0.0885851599435798 + 0.01572451685646281im	0.05969245731232907 - 0.040283287530987526im	0.03703739288866853 - 0.011566958807371828im	0.08919715665331285 - 0.04340659619245772im	0.03356249703207848 - 0.13894271575067782im	-0.08783284380890176 - 0.10446194545996579im	-0.08573681698244957 - 0.0019135125570860835im	-0.02668711917360248 - 0.001500787792899426im	-0.058233345410540156 - 0.038348798076427125im	-0.10970877441471459 + 0.024975626162009257im	-0.05029580117020768 + 0.09413786510261456im	0.0010160458877495838 + 0.07089939220891898im	0.005244168282586611 + 0.06645207066374546im	0.03283881209643133 + 0.07650488361551616im	0.084716805295217 + 0.060500349623002714im	0.10507783373811001 - 0.016702461789962472im	0.037462202997612305 - 0.052520102660428065im	0.03169722295535179 + 5.9858638697733016e-5im	0.10057788715264357 - 0.048161368491491746im	0.019906475199833844 - 0.15888448521655882im	-0.11566566376543784 - 0.08921815895791096im	-0.07502977453566519 + 0.027727413762197024im	9.405844280553768e-5 - 0.010447642545261478im	-0.07240090419848444 - 0.06025190635795385im	-0.126282025440898 + 0.043611326470984535im	-0.036236422204360526 + 0.10622052328242682im	0.008257507863659074 + 0.06605856796768404im	0.003011355417622729 + 0.06798356186346327im	0.04640277535446899 + 0.08526509619110464im	0.10039872477522077 + 0.0391760639156528im	0.08559459440742484 - 0.03131440643298328im	0.031742203497750324 - 0.039200458287433994im	0.04387674600806841 - 0.0053315531679152045im	0.08693168450536502 - 0.06447713491474288im	0.0025808513975497617 - 0.14258341283782217im	-0.1014256795076753 - 0.07696794208235498im	-0.06645355207469697 + 0.014443802276659446im	-0.018228354350155285 - 0.022485188234075172im	-0.08988186778884749 - 0.035181811920060674im	-0.10190987333331553 + 0.05977576717748221im	-0.02966787085128303 + 0.0902594086475594im	-0.002601011854929731 + 0.07192604075372656im	0.01874738246381323 + 0.08504207397143412im	0.0752902077501377 + 0.06440162402700587im	0.07848324315724473 + 0.0037589877960285565im	0.050946310411239544 - 0.008435987288982268im	0.06060342039479747 - 0.0066216621425388275im	0.07543163445756973 - 0.04400806703511302im	0.043677747257307706 - 0.09220519949977879im	-0.016356546885925177 - 0.10519932670597446im	-0.07221280671153395 - 0.06894616770144434im	-0.06792816374988736 - 0.016385528039590123im	-0.06007445580851184 - 0.014644031024016516im	-0.0797655057612845 + 0.01457363515983833im	-0.055506879397955976 + 0.050496945793578975im	-0.03992662904187431 + 0.053423005366343486im	-0.032615619055828944 + 0.08913253158957515im	0.04510028675195208 + 0.11282404119129315im	0.10190671668326833 + 0.03445804788468126im	0.0498315410436745 - 0.020708137567174913im	0.029708483087148813 + 0.024096129539492965im	0.10655388197115506 + 0.010308027031791405im	0.08861597661782922 - 0.10297918420796806im	-0.01567112222238853 - 0.10476108549259028im	-0.02950816436784999 - 0.0572991057272917im	-0.036297343863010895 - 0.06047314034843122im	-0.07138078426685243 - 0.04712597505981448im	-0.09024221065806987 + 0.000645939013320884im	-0.05990430631758947 + 0.04355462626106532im	-0.03060326426190588 + 0.030059227393865448im	-0.06493397118597238 + 0.034903528983928254im	-0.045232022543062377 + 0.12189236247489112im	0.0797220645005746 + 0.12424103192020887im	0.11711672666300905 + 0.007110459402198435im	0.031006937277224433 - 0.03732315836266582im	0.02120613691157887 + 0.041482768106011904im	0.129010078733168 + 0.005338079091272302im	0.0763936180004433 - 0.1309716800920517im	-0.04542217280347472 - 0.09512773231901517im	-0.023649878068335784 - 0.0306333149450099im	-0.016562580149972625 - 0.0689885078788992im	-0.08498900369606777 - 0.05962198937990317im	-0.09882072222038822 + 0.0137833261537432im	-0.052205153010468866 + 0.04922681861709258im	-0.03391016596961711 + 0.025493680234686258im	-0.07168049094825388 + 0.0535865430782622im	-0.015743132115779563 + 0.13269040226741827im	0.09253483052275718 + 0.09764572889219685im	0.10168983443518308 - 0.004025673767383469im	0.02564967721601459 - 0.02831597323351708im	0.03249350127032233 + 0.03877467426245574im	0.12056785589474298 - 0.009071848750202675im	0.06454082563092631 - 0.12142420912161317im	-0.03468026198886868 - 0.08834911539380093im
0.043266669583309894 + 0.0im	0.04920975272757786 - 0.00039824833084450313im	0.07368993077233223 - 0.013097780981561096im	0.0914117363094273 - 0.08204200721285419im	-0.0035714032466108076 - 0.16070661709968295im	-0.12216665448023117 - 0.08068766671205115im	-0.083581793226556 + 0.01933960867399363im	-0.03646648226676799 + 0.014195482335219807im	-0.03394759170787315 - 0.006140310258714436im	-0.08113234754299163 - 0.006357082271970969im	-0.09661440873486617 + 0.0859823177383004im	0.004692731221810744 + 0.13610398896418724im	0.07789896528848135 + 0.07495131100881618im	0.06842451890543429 + 0.015380061233680057im	0.042858434097576406 + 0.005585699616160361im	0.05013030179867367 + 0.015735110939128973im	0.07361549041494646 - 0.006022881391796638im	0.07936646041317683 - 0.038641353285727854im	0.074454540362866 - 0.10847795159464635im	-0.046863882627508416 - 0.15629664073589264im	-0.1277962427555707 - 0.03825368154639786im	-0.05764691512529797 + 0.030798226327653215im	-0.022839877799995887 + 0.004393412465333669im	-0.03892435080157353 - 0.017790622762374326im	-0.08705394208543007 + 0.0003768878954567295im	-0.09088049729193066 + 0.08431823663893487im	-0.006584456321701553 + 0.13474042102960157im	0.07894341209141785 + 0.09827047444661435im	0.10015357134203444 + 0.015801891274004703im	0.04592532687485871 - 0.021411122545334678im	0.040389159766869284 + 0.011901614848304315im	0.07328652230011037 - 0.01124135185792585im	0.07506374760714922 - 0.047659163004177676im	0.052902063046546995 - 0.11779946625729013im	-0.06814393154809299 - 0.12655324401702828im	-0.09940710734925748 - 0.013947850295198634im	-0.033760132581381226 + 0.009890101797009944im	-0.03624624124029961 - 0.022216490518649157im	-0.07010164488596296 - 0.012170230398244004im	-0.09209978852495265 + 0.03189990892233663im	-0.06796250136260804 + 0.09805421632588149im	0.0046193659258220495 + 0.12976390726117343im	0.09535290942813754 + 0.10112742102892079im	0.11737408149835615 - 0.01421465887785526im	0.017819792281133645 - 0.04392166453251481im	0.0193089473338027 + 0.027711789203144207im	0.08001989992616594 + 0.009034202517805777im	0.09616331546828918 - 0.054845983306424866im	0.04267483267432842 - 0.13670610898335653im	-0.07960953544619824 - 0.11794090934352087im	-0.09338227450600448 - 0.012838985966143695im	-0.04109474284735844 + 0.00041266700397617326im	-0.053362961548793816 - 0.014645882151583129im	-0.07421704012133519 + 0.008433852075236545im	-0.07569050519438471 + 0.05354170700506953im	-0.037622687538940984 + 0.0898253468811572im	0.004801737718758606 + 0.10834105397146408im	0.09257465938221421 + 0.09286540062418111im	0.1024781703023492 - 0.02462870629269091im	0.0036662670989282362 - 0.026883336697608055im	0.03298266632812358 + 0.045328351999238556im	0.1066928766286025 + 0.002595120027054842im	0.10008243856152853 - 0.08950866178581646im	0.010590705745606204 - 0.15233343434553945im	-0.10129211504154641 - 0.09982130366164771im	-0.09351200915210361 + 0.0023862337413498224im	-0.04079323762663427 + 0.015199781870381922im	-0.03274997372362282 - 0.004984948161736237im	-0.06645861042700786 - 0.007856500605339553im	-0.08238520779878754 + 0.05161887541121444im	-0.04034407608726147 + 0.09023974921368962im	0.005882329052254245 + 0.11656740738083016im	0.10055235386370776 + 0.08878390594089797im	0.0968806437106963 - 0.02329321666569046im	0.015475581306066851 - 0.017393594010102563im	0.05237756487733104 + 0.03148814757351074im	0.10233561405820898 - 0.02694626920562712im	0.06953152475352377 - 0.10169570470789313im	-0.015719390377720903 - 0.1302789452805192im	-0.08879313094729732 - 0.07170124278263412im	-0.07814813950305355 - 0.004028244751693567im	-0.04045978089021493 + 0.017678919892300558im	-0.019156682351856136 - 0.015647829947132222im	-0.0854486266259054 - 0.025445116578851897im	-0.10610138493790908 + 0.06954735305585398im	-0.03305645739541553 + 0.12503306786031165im	0.047344699139242497 + 0.12332200481422935im	0.11724400760671738 + 0.05330988312491388im	0.07579171263585092 - 0.0399446956429198im	0.009483426136513842 - 0.008319547596712544im	0.05678245076872799 + 0.024074983282551612im	0.09013731649559968 - 0.03210984111061102im	0.059939721994904056 - 0.09526916153848923im	-0.014592825007241857 - 0.11329404021696836im	-0.06506708866449033 - 0.07727359324428382im	-0.09192782294466345 - 0.028922738523202363im	-0.05984563972057737 + 0.030481453449683588im	-0.01759946513403505 - 0.006499563816608628im	-0.0900356753898401 - 0.018411320460276im	-0.10405210735202748 + 0.08875900449702386im	-0.005163911634108018 + 0.1392728007000391im
